Mode,Pre_COVID_Ridership,Post_COVID_Ridership,Recovery_Percentage
bus,457781.6666666667,338974.1666666667,-25.952874186748414
heavy rail,301639.5,153394.41666666666,-49.14644246968097
regional rail,123335.08333333333,67355.33333333333,-45.3883424627083
trolley,79681.25,44913.75,-43.63322613538317
